Network,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,,,,Max,Min
eu,None,Gurobi,28,41,6,unbounded,20,600.0430501,Berlin,77,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.039438,Copen...,140,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.0100608,Dublin,182,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.0326431,Brussels,67,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.2680571,Paris,92,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.047354,Milan,60,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.0126791,Barce...,155,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.056411,Bordeaux,155,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.024467,London,98,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.081645,Zagreb,139,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.007992,Stras...,62,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.0147369,Belgrade,203,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.025712,Amste...,83,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.0592439,Glasgow,115,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.0434558,Athens,171,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.024883,Vienna,87,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.169009,Frank...,55,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.011174,Stock...,266,,,,,
eu,None,Gurobi,28,41,6,unbounded,20,600.012084,Munich,56,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0231712,N15,27,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.029155,N20,34,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.1240301,N17,45,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.1482732,N08,34,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0211978,N13,37,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0204759,N06,45,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0330551,N07,46,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0220399,N05,51,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0803421,N03,31,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.2943351,N25,28,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0553489,N19,51,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0191181,N22,32,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0279191,N21,37,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0309289,N23,47,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0277541,N14,37,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0213931,N04,35,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.021682,N02,37,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0398159,N10,37,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0555151,N16,33,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.018059,N18,36,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.025121,N01,37,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0428112,N24,46,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.025367,N09,27,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.057853,N12,44,,,,,
france,None,Gurobi,25,45,6,unbounded,20,600.0240431,N11,35,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.058075,pl1.pl,37,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.0177259,lu1.lu,45,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.0455251,cz1.cz,30,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.026062,es1.es,44,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.0198331,ny1.ny,29,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,3.666049004,de1.de,22,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.0186849,at1.at,25,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.079262,sk1.sk,41,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.053081,be1.be,44,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.032027,il1.il,44,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.019913,pt1.pt,48,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.054508,hr1.hr,50,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.040853,ch1.ch,29,,,,,
